Name,Rarity,Type,Properties,Location,Description
Sword of Chaos,Very Rare,Greatsword,2h 🔪(2d6 + 2) + 💀(1d4),Murder Tribunal,Regain ❤️(1d6) Hit Points on a hit.
Sword of the Emperor,Rare,Longsword,"1h 🔪(1d8)
2h 🔪(1d10)",Emperor's Old Hideout,"Deal an additional 🎲(1d4) damage with this weapon against shapeshifters or polymorphed creatures.
Gain a +2 bonus to Saving Throws against spells."
The Dancing Breeze,Very Rare,Glaive,2h 🔪(1d10),Rivington,
The Dead Shot,Very Rare,Longbow,2h 🏹(1d8 + 2),Lower City,"The number you need to roll a Critical Hit while attacking is reduced by 1. This effect can stack.
Double your Proficiency Bonus when rolling ranged attacks with this weapon, unless you have Disadvantage."
The Long Arm of the Gur,Rare,Heavy Crossbow,2h 🏹(1d10 + 2),The Counting House,Gain 🎲(1d4) bonus to Attack and Damage Rolls when attacking undead creatures.
The Pointy Hat,Rare,Helmet,,Rivington,Gain a 🎲(Intelligence Modifier) bonus to your Persuasion Checks.
The Reviving Hands,Very Rare,Medium Gloves,,Stormshore Tabernacle,"When you heal a creature, it gains the effect of Blade Ward. 
When you Revive a creature it gains the effect of Death Ward.
Cast Revivify once per Long Rest.
Strength Saving Throws +1"
The Sacred Star,Very Rare,Morningstar,1h 🏹(1d8 + 3) + ☀️(1d4),Stormshore Tabernacle,"On a hit, inflict Radiating Orb for 1 turn.
Sanctified Weapon: Undead creatures struck by this weapon are possibly Turned."
The Undead Bane,Uncommon,Greataxe,2h 🔪(1d12 + 1),Rivington,
Thunderpalm Strikers,Rare,Gloves,,Rivington,"Deal an additional ⛈️(1d4) with unarmed attacks.
Cast Thunderwave once per Long Rest."
Til Death Do Us Part,Rare,Ring,,Lower City,Cast Beacon of Hope once per Long Rest.
Torch of Revocation,Very Rare,Club,1h 🔨(1d4 + 1) + 💀(1d4),Philgrave's Mansion,
Trident of the Waves,Very Rare,Trident,"1h 🏹(1d6 + 1)
2h 🏹(1d8 + 1)",The Counting House,"On a hit, create a 2m / 7ft water surface centered around the target."
Tyrannical Jackboots,Uncommon,Boots,,Wyrm's Rock,Gain a +1 bonus to Charisma checks and Saving Throws.
Unflinching Protector Amulet,Very Rare,Amulet,,The Lodge,"When a nearby ally is targeted by an attack of any kind, you can use your reaction to make that attack automatically miss. Once per Short Rest."
Unlucky Thief's Gloves,Uncommon,Gloves,,Rivington,"When you roll a 1 or 2 on a damage die for a Spell Attack, that die is re-rolled once."
Unwanted Masterwork Gauntlets,Rare,Gloves,,Lower City,"Gain a +1 bonus to Attack Rolls.
Strength Saving Throws + 1"
Unwanted Masterwork Greaves,Rare,Boots,,Lower City,Athletics + 1
Unwanted Masterwork Scalemail,Rare,Medium Armour,🛡️ 16 AC,Lower City,"Applies your full Dexterity Modifier to your AC. Does not impose Disadvantage on Stealth Ability Checks.
Resistance to Fire damage."
Veil of the Morning,Very Rare,Clothing,🛡️ 10 AC,Lower City,"Undead have Disadvantage on Attack Rolls against you, and you have Advantage on Saving Throws against their actions and spells.
Cast Turn Undead once per Long Rest."
Vest of Soul Rejuvenation,Very Rare,Clothing,"🛡️ 10 AC
🛡️ + 2 AC",Sorcerous Sundries,"Regain ❤️(1d4) Hit Points when you succeed with a Saving Throw against a spell.
You can use a reaction to make an unarmed strike against any attacker that misses."
Vicious Battleaxe,Rare,Battleaxe,"1h 🔪(1d8 + 2)
2h 🔪(1d10 + 2)",Murder Tribunal,"When you land a Critical Hit with this weapon, it deals an additional 7 damage."
Vicious Shortbow,Rare,Shortbow,2h 🏹(1d6 + 2),Murder Tribunal,Deal an additional 🎲(7) on a Critical Hit.
Viconia's Priestess Robe,Rare,Clothing,"🛡️ 10 AC
🛡️ + 1 AC",Lower City,"Advantage on Stealth Checks while Obscured by shadows.
Gain a +2 to all Saving throws while affected by Shield of Faith."
Viconia's Walking Fortress,Legendary,Shield,🛡️ + 3 AC,Lower City,"When an enemy hits you with a melee attack, you can use your Reaction to deal 💥(2d4) and knock it Prone unless they succeed a Dexterity Saving Throw.
Advantage on Saving Throws against spells. Spell Attack Rolls against you have Disadvantage.
Cast Reflective Shell once per Short Rest.
Cast Warding Bond once per Long Rest."
Voss' Silver Sword,Very Rare,Longsword,"1h 🔪(1d8 + 2) + 👁️(1d4)
2h 🔪(1d10 + 2) + 👁️(1d4)",Sharress’ Caress,"Gain a 🎲(1d4) bonus to Damage and Attack Rolls against Githyanki, aberrations, fiends, and elementals.
Cast Wrathful Smite once per Long Rest."
Wavemother's Cloak,Rare,Cloak,,Lower City,Gain Water Layer Protection until you take damage once per turn.
Wavemother's Robe,Very Rare,Clothing,🛡️ 10 AC,Water Queen's House,"Regain ❤️(1d4) Hit Points when you start your turn on a water surface.
Cast Create or Destroy Water once per Short Rest.
Resistance to Fire damage.
Resistance to Cold damage."
Wavemother's Sickle,Rare,Sickle,1h 🔪(1d4) + ❄️(1d4),Lower City,Advantage against Wet creatures with this weapon.
Winkling Gloves,Rare,Gloves,,Lower City,"Gain a +1 bonus to Attack Rolls.
Sleight of Hand + 1"
Burnished Ring,Very Rare,Ring,,House of Hope,Cast Paralyzing Ray once per Long Rest.
Woe,Very Rare,Quarterstaff,"1h 🔨(1d6 + 2)
2h 🔨(1d8 + 2)",Cazador's Dungeon,"Gain a +1 bonus to Spell Save DC and spell Attack Rolls.
Regain ❤️(1d4) Hit Points when the creatures affected by your spells fail their Saving Throws.
Cast Blight once per Long Rest.
Bound Weapon"
