Name,Rarity,Type,Properties,Act Area,Location,Description
Robust Chain Shirt,Uncommon,Medium Armour,🛡️ 13 AC,Grymforge,Optional Quest Reward by Sergeant Thrinn.,Deal 🏹(1d4) to the attackers that hit you with a melee attack while you're at 50% Hit Points or less.
Rupturing Blade,Uncommon,Rapier,1h 🏹(1d8 + 1),Zhentarim Hideout,Sold by Brem. Only available after completing Quest by Zarys. 💰,Gain Searing Blood weapon action.
Safeguard Shield,Uncommon,Shield,🛡️ + 2 AC,Druid Grove,Sold by Dammon. 💰,Saving Throws +1
Sentient Amulet (Rare),Rare,Amulet,,Grymforge,"Found in a locked Adamantine Chest, on an island in lava, near the Lava Elemental.","See wiki for risks when using this item.
Cast Shatter once per Short Rest.
Cast Ki Restoration once per Long Rest."
Shadow of Menzoberranzan,Rare,Light Helmet,,Myconid Colony,"Found on a Pale Corpse in the Myconid Colony, in the secret area unlocked by completing the quest Defeat the Duergar Intruders.",You can become Invisible once per Long Rest for 2 turns.
Shapeshifter's Boon Ring,Uncommon,Ring,,Druid Grove,Dropped as loot by the Strange Ox. 🎁,Gain 🎲(1d4) bonus to all checks while shapeshifting or disguising yourself
Shattered Flail,Rare,Mace,1h 🔨(1d6 + 2),The Risen Road,Dropped as loot by Flind. 🎁,Regain ❤️(1d6) Hit Points when you hit an enemy. You can go Mad if you don't hit an enemy each turn.
Shining Staver-of-Skulls,Uncommon,Light Hammer,1h 🔨(1d4 +1) + ☀️(1d4),Grymforge,Dropped as loot or Sold by Corsair Greymon. 💰 🎁,
Shortsword of First Blood,Uncommon,Shortsword,1h 🏹(1d6),Underdark,"Found on the corpse of an executed Deep Gnome in the Underdark, at the entrance of the Decrepit Village.",Deals an additional 🏹(1d8) to targets that still have all their Hit Points.
Sickle of BOOOAL,Rare,Sickle,1h 🔪(2d4),The Festering Cove,Found in the Harpy's Nest.,"Advantage on Attack Rolls against Bleeding creatures, as long as there are Kuo-toa to worship BOOOAL."
Silver Pendant,Uncommon,Amulet,,Druid Grove,Found on a skeleton on the cliff southwest of the Druid Grove.,Cast Guidance
Skybreaker,Uncommon,Light Hammer,1h 🔨(1d4 + 1),Arcane Tower,Found in a locked chest in front of the Arcane Tower.,Cast Searing Smite once per Long Rest.
Slippery Chain Shirt,Uncommon,Medium Armour,🛡️ 13 AC,The Festering Cove,Found in a chest hidden on a cliff.,"When you heal a creature, it automatically Disengages and won't trigger Opportunity Attacks."
Smuggler's Ring,Uncommon,Ring,,The Risen Road,"Found on a Skeleton, hidden in a bush on the lower path following the river, near the broken bridge section at The Risen Road.","Stealth +2
Sleight of Hand +2
Charisma -1"
Sorrow,Rare,Glaive,2h 🔪(1d10 + 1),Druid Grove,Found in the Hidden Vault by solving the Enclave Library Puzzle.,Cast Sorrowful Lash once per turn.
Soulbreaker Greatsword,Rare,Greatsword,2h 🔪(2d6 + 1),Crèche Y'llek,Dropped as loot by Kith'rak Therezzyn. 🎁,"Deal an additional 👁️(1d4) if you are Githyanki.
Gain a +2 bonus to Initiative Rolls."
Speedy Reply,Uncommon,Scimitar,1h 🔪(1d6),The Risen Road,"Found on the body of a dead caravan agent on The Risen Road, near the cave where gnolls are attacking the caravan's survivors.","On a hit, gain Momentum for 2 turns."
Spellthief,Uncommon,Longbow,2h 🏹(1d8),Druid Grove,Sold by Arron. 💰,Regain a Level 1 Spell Slot when you land a Critical hit with the Spellthief once per Short Rest.
Spidersilk Armour,Rare,Light Armour,🛡️ 12 AC,Shattered Sanctum,Dropped as loot by Minthara. 🎁,"Stealthy: Gain +1 bonus to Stealth Checks.
Advantage on Constitution Saving Throws."
Spiderstep Boots,Uncommon,Boots,,Whispering Depths,Found in a heavy chest.,Immune to being Enwebbed. Your Movement Speed is not affected by web surfaces.
Springstep Boots,Rare,Boots,,Shattered Sanctum,Found in Dror Ragzlin's treasure pile.,"When you Dash or take a similar action, gain Momentum for 3 turns."
Spurred Band,Uncommon,Ring,,Whispering Depths,Found on a skeleton.,"When you start your turn with 50% Hit Points or less, gain Momentum for 1 turn."
Staff of Arcane Blessing,Uncommon,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Arcane Tower,Found leaning up against a table in the basement of the Arcane Tower.,"Bless becomes Mystra's Blessing. 
Mystra's Blessing grants an additional 🎲(1d4) to Weapon Attack Rolls and Saving Throws, and an additional 🎲(2d4) to Spell Attack Rolls.
Cast Bless (Mystra's Blessing) once per Long Rest"
Staff of Crones,Uncommon,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Ancient Abode,Looted from the ground in the treasure room after beating Auntie Ethel.,Cast Ray of Sickness once per Short Rest.
Steelforge Sword,Uncommon,Shortsword,1h 🏹(1d6 + 1),Blighted Village,"This weapon can be found in a locked chest in the abandoned workshop in the Blighted Village, across from the Ancient Rune Circle.",
Strange Conduit Ring,Uncommon,Ring,,Crèche Y'llek,Found inside a chest in Inquisitor's Chamber.,Deal an additional 👁️(1d4) with weapon attacks while you are Concentrating on a spell.
Sunwalker's Gift,Uncommon,Ring,,Myconid Colony,Sold by Blurg. 💰,Gain Darkvision.
Sussur Dagger,Rare,Dagger,1h 🏹(1d4 + 1),Blighted Village,Quest Rewards by combining a Dagger with Sussur Tree Bark in the Blacksmith's Forge found in one of the buildings in the village.,"On a hit, Silence target."
Sussur Greatsword,Rare,Greatsword,2h 🔪(2d6 + 1),Blighted Village,Quest Rewards by combining a Greatsword with Sussur Tree Bark in the Blacksmith's Forge found in one of the buildings in the village.,"On a hit, Silence target."
Sussur Sickle,Rare,Sickle,1h 🔪(1d4 + 1),Blighted Village,Quest Rewards by combining a Sickle with Sussur Tree Bark in the Blacksmith's Forge found in one of the buildings in the village.,"On a hit, Silence target."
Svartlebee's Woundseeker,Uncommon,Greatsword,2h 🔪(2d6 + 1),Waukeen's Rest,Dropped as loot by Gauntlet Yeva. 🎁,Gains a 🎲(1d4) bonus to Attack Rolls with this weapon when attacking creatures that have already taken damage.
Swiresy Shoes,Rare,Boots,,Goblin Camp,Sold by Grat the Trader. 💰,"Jump distance is increased by 1.5m / 5ft.
Acrobatics +1"
Sword of Justice,Uncommon,Greatsword,2h 🔪(2d6 + 1),Risen Road Toll House,Quest Reward or Dropped as loot by Anders. 🎁,Cast Shield of Faith once per Long Rest.
Sword of Screams,Uncommon,Rapier,1h 🏹(1d8) + 👁️(1d4),Grymforge,Dropped as loot by Nere. 🎁,
Tarnished Charm,Uncommon,Amulet,,Druid Grove,Dropped as loot by Auntie Ethel. 🎁,The DC of Death Saving Throws for the wearer is lowered from 10 to 5.
The Amulet of Lost Voices,Rare,Amulet,,Dank Crypt,Found in a heavy chest in the same room that Withers emerges from.,Cast Speak with Dead once per Long Rest.
The Baneful,Rare,Shortsword,1h 🏹(1d6 + 1),Myconid Colony,Sold by Blurg. 💰,"The Warlock bound to this weapon is always Proficient with it. The weapon's damage is magical.
Gain a +1 bonus to damage and Attack Rolls with this weapon.
On a hit, possibly inflict Bane your target."
The Blast Pendant,Uncommon,Amulet,,Selûnite Outpost,Dropped as loot by Dhourn. 🎁,Use a Bonus Action to consume Lightning Charges to deal additional damage on your next Lightning Spell or Cantrip once per Long Rest.
The Blood of Lathander,Legendary,Mace,1h 🔨(1d6 + 3),Crèche Y'llek,Quest Reward by Find the Blood of Lathander quest.,"Regain ❤️(2d6) Hit Points when your Hit Points are reduced to 0 once per Long Rest. Allies within 9m also regain ❤️(1d6) Hit Points.
This weapon shines with a glowing light in a radius of 6m. In combat, fiends and undead standing in the light are Blinded.
Cast Sunbeam once per Long Rest."
The Deathstalker Mantle,Rare,Cloak,,The Dark Urge Origin,Given to a player using The Dark Urge Origin by Sceleritas Fel.,"You can become Invisible for 2 turns after killing an enemy, once per turn."
The Ever-Seeing Eye,Uncommon,Amulet,,Ancient Abode,Looted from the ground in the treasure room after beating Auntie Ethel.,Cast Protection from Evil and Good once per Short Rest.
The Graceful Cloth (Esther),Rare,Clothing,"🛡️ 10 AC
🛡️ + 1 AC",Rosymorn Monastery Trail,Sold by Lady Esther. 💰,"Gain a +1 bonus to Dexterity Saving Throws.
Jump distance is increased by 1.5m / 5ft.
Dexterity +2 (up to 20)"
The Joltshooter,Rare,Longbow,2h 🏹(1d8),Waukeen's Rest,Optional Quest Reward by Counsellor Florrick.,"When you deal damage with this weapon, gain 2 Lightning Charges."
The Jolty Vest,Rare,Medium Armour,🛡️ 13 AC,Zhentarim Hideout,Sold by Brem. Only available after completing Quest by Zarys. 💰,"When you are hit with a melee attack while having Lightning Charges, the attacker must succeed a Dexterity Saving Throw or become Shocked.
You take 1 less Slashing damage."
The Lifebringer,Uncommon,Helmet,,Myconid Colony,Sold by Blurg. 💰,Gain ❤️(3) Temporary Hit Points when you gain Lightning Charges.
The Oakfather's Embrace,Uncommon,Medium Armour,🛡️ 13 AC,Owlbear Nest,Found on a headless skeleton.,Deal ☀️(1d6) to the attacker if they are undead. Attackers that are beasts receive an additional ☀️(1d6).
The Protecty Sparkswall,Rare,Clothing,🛡️ 10 AC,Grymforge,Found in a Gilded Chest at the end of the trapped bridge.,"Gain a +1 bonus to Spell Save DC.
Gain a +1 bonus to Saving Throws and 🛡️ + 1 AC when you have Lightning Charges."
The Real Sparky Sparkswall,Uncommon,Shield,🛡️ + 2 AC,Grymforge,Found on a locked and trapped chest.,Use an Action to consume 3 Lightning Charges to Jolts nearby enemies and deal ⚡(1d4) once per Long Rest.
The Shadespell Circlet,Uncommon,Helmet,,Myconid Colony,Sold by Omeluum. 💰,"While you are obscured in shadow, your spells gain a +1 bonus to Spell Save DC, making them more likely to succeed."
The Skinburster,Uncommon,Halberd,2h 🔪(1d10 + 1),Crèche Y'llek,Found inside a chest in Inquisitor's Chamber.,"On a hit, gain Force Conduit for 2 turns."
The Sparkle Hands,Rare,Gloves,,Sunlit Wetlands,Found in a wooden chest.,"On a hit with an unarmed attack, gain 2 Lightning Charges.
Advantage on Attack Rolls against metal constructs and enemies wearing metal armour while you have Lightning Charges."
The Sparkswall,Uncommon,Ring,,Arcane Tower,Found in a gilded chest in the Arcane Tower's basement.,"Immune to being Electrocuted.
Resistance to Lightning damage."
The Sparky Points,Rare,Trident,"1h 🏹(1d6)
2h 🏹(1d8)",Waukeen's Rest,Optional Quest Reward by Counsellor Florrick.,"When you deal damage with this weapon, gain 2 Lightning Charges."
The Spectator Eyes,Very Rare,Amulet,,Underdark,Dropped as loot by the Spectator. 🎁,"Cast Ray of Fear once per Long Rest.
Cast Wounding Ray once per Long Rest."
The Speedy Lightfeet,Rare,Medium Boots,,Blighted Village,Found inside a Heavy Chest in the cellar behind the windmill.,"When you Dash or take a similar action, gain 3 Lightning Charges.
Athletics +1"
The Spellsparkler,Rare,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Waukeen's Rest,Optional Quest Reward by Counsellor Florrick.,"When you deal damage with a spell or cantrip, gain 2 Lightning Charges."
The Watcher's Guide,Uncommon,Spear,"1h 🏹(1d6)
2h 🏹(1d8)",Dank Crypt,Found in a trapped sarcophagus.,"On a miss, the next Attack Roll against that target gains True Strike."
The Watersparkers,Rare,Boots,,Shattered Sanctum,Found in a chest near Minthara.,"Water becomes electrified when you stand in it during combat.
When you start your turn on an electrified surface, gain 3 Lightning Charges."
The Whispering Promise,Uncommon,Ring,,Goblin Camp,"Sold by main Merchants, item in Merchant Item Pool. 💰","When you heal a creature, grant them Bless for 10 turns."
Titanstring Bow,Rare,Longbow,2h 🏹(1d8 + 1),Zhentarim Hideout,Sold by Brem. Only available after completing Quest by Zarys. 💰,Deal an additional 🎲(Strength Modifier) with this weapon.
Uncovered Mysteries,Rare,Amulet,,Arcane Tower,Found inside a small gilded chest on the Arcane Tower's 1st floor.,Cast Detect Thoughts once per Long Rest.
Unseen Menace,Rare,Pike,2h 🏹(1d10 + 1),Crèche Y'llek,Sold by A'jak'nir Jeera. 💰,"This weapon is Invisible while equipped. It loses this property for 2 turns on a missed Attack Rolls.
While Invisible, you are Immune to Disarm, gain Advantage on Attack Rolls and you land a Critical Hit when rolling a 19."
Varsh Ko'kuu's Boots,Uncommon,Boots,,Crèche Y'llek,Dropped as loot or given to you by Varsh Ko'kuu. 🎁,"Immune to Acidic Surfaces.
Resistance to Acid damage."
Very Heavy Greataxe,Uncommon,Greataxe,2h 🔪(1d12),Blighted Village,Dropped as loot by Fezzerk. 🎁,Gain Gargantuan Cleave weapon action.
Vision of the Absolute,Uncommon,Spear,"1h 🏹(1d6)
2h 🏹(1d8)",Druid Grove/Ownbear Nest,Combine the Shaft of a Broken Spear found on the body of Edowin in the Forest west of the Druid Grove and the Head of a Broken Spear looted from the Owlbear in the Owlbear Nest.,"On a hit, the target must succeed a Dexterity Saving Throw or become Blinded. 
Deals an additional 🏹(2d6) to creatures that have multiple sets of eyes."
Vital Conduit Boots,Rare,Medium Boots,,Crèche Y'llek,Sold by A'jak'nir Jeera. 💰,"Gain ❤️(8) temporary Hit Points when you cast a Spell that requires Concentration.
Athletics +1"
Wapira's Crown,Uncommon,Helmet,,Druid Grove,Quest Reward by Zevlor.,Regain ❤️(1d6) Hit Points when you heal another creature.
Warped Headband of Intellect,Uncommon,Helmet,,Blighted Village,Dropped as loot by Lump the Enlightened. 🎁,Increases Intelligence to 17.
Winter's Clutches,Uncommon,Gloves,,Rosymorn Monastery Trail,Sold by Lady Esther. 💰,"When you deal Cold damage, inflict Encrusted with Frost for 2 turns."
Witchbreaker,Uncommon,Battleaxe,"1h 🔪(1d8 + 1)
2h 🔪(1d10 + 1)",Crèche Y'llek,Sold by A'jak'nir Jeera. 💰,Advantage on Attack Rolls against concentrating creatures.
Wondrous Gloves,Rare,Gloves,🛡️ + 1 AC,Grymforge,Dropped as loot by a mimic disguised as a chest. 🎁,Gain 1 more use of Bardic Inspiration.
Wood Woad Shield,Uncommon,Shield,🛡️ + 2 AC,Sunlit Wetlands,Dropped as loot by Wood Woads. 🎁,Use a Bonus Action to attack and possibly Ensnare your target once per Short Rest.
Worgfang,Uncommon,Dagger,1h 🏹(1d4),Shattered Sanctum,Found in a pile of bones in one of the cells within the Worg Pens.,Goblins have Disadvantage on Attack Rolls against you.
Xyanyde,Uncommon,Mace,1h 🔨(1d6),Shattered Sanctum,Dropped as loot by Minthara. 🎁,"On a miss, automatically Cast Faerie Fire on the target (for 2 turns) once per Short Rest."
